iter	Passed	Remaining
0	12	12250
1	24	12398
2	39	13137
3	52	13163
4	63	12725
5	76	12637
6	88	12560
7	100	12523
8	114	12574
9	125	12378
10	136	12294
11	149	12348
12	162	12308
13	174	12311
14	187	12283
15	199	12256
16	211	12221
17	224	12222
18	234	12113
19	246	12089
20	260	12133
21	274	12211
22	287	12226
23	299	12189
24	311	12142
25	323	12131
26	337	12168
27	348	12104
28	361	12109
29	374	12118
30	388	12136
31	399	12099
32	411	12068
33	424	12054
34	437	12064
35	450	12076
36	463	12062
37	475	12045
38	488	12042
39	501	12042
40	513	12015
41	526	11997
42	539	11997
43	551	11973
44	563	11962
45	576	11958
46	586	11899
47	599	11886
48	609	11828
49	621	11814
50	632	11763
51	643	11738
52	654	11699
53	666	11669
54	678	11655
55	688	11608
56	699	11570
57	710	11533
58	718	11464
59	731	11464
60	744	11466
61	756	11442
62	766	11394
63	775	11343
64	787	11323
65	799	11320
66	813	11323
67	824	11304
68	833	11252
69	847	11255
70	858	11229
71	871	11226
72	882	11210
73	894	11192
74	905	11172
75	919	11179
76	930	11156
77	943	11152
78	954	11133
79	966	11112
80	977	11095
81	987	11055
82	999	11037
83	1010	11015
84	1021	11000
85	1032	10968
86	1041	10933
87	1053	10915
88	1065	10901
89	1075	10876
90	1086	10856
91	1098	10839
92	1109	10824
93	1121	10804
94	1131	10782
95	1142	10760
96	1152	10732
97	1163	10704
98	1173	10679
99	1185	10671
100	1196	10650
101	1205	10617
102	1218	10610
103	1230	10602
104	1242	10588
105	1256	10595
106	1266	10571
107	1277	10550
108	1287	10521
109	1295	10483
110	1306	10464
111	1321	10477
112	1333	10466
113	1345	10456
114	1356	10440
115	1367	10421
116	1378	10405
117	1389	10386
118	1401	10374
119	1411	10350
120	1423	10340
121	1434	10326
122	1445	10307
123	1456	10287
124	1465	10258
125	1479	10263
126	1490	10248
127	1500	10221
128	1512	10215
129	1524	10204
130	1538	10203
131	1548	10184
132	1560	10175
133	1572	10159
134	1583	10148
135	1595	10133
136	1605	10115
137	1616	10097
138	1626	10077
139	1636	10054
140	1647	10039
141	1657	10013
142	1668	10002
143	1679	9986
144	1690	9970
145	1700	9944
146	1710	9923
147	1719	9898
148	1727	9867
149	1737	9845
150	1747	9823
151	1755	9795
152	1763	9763
153	1772	9736
154	1783	9720
155	1791	9693
156	1804	9687
157	1815	9674
158	1827	9664
159	1838	9651
160	1848	9635
161	1861	9628
162	1873	9619
163	1884	9605
164	1894	9585
165	1905	9572
166	1916	9561
167	1929	9556
168	1940	9542
169	1949	9518
170	1959	9498
171	1971	9489
172	1981	9472
173	1989	9446
174	1998	9423
175	2009	9407
176	2017	9380
177	2029	9371
178	2039	9354
179	2048	9333
180	2058	9316
181	2070	9303
182	2080	9287
183	2089	9264
184	2098	9243
185	2107	9222
186	2119	9212
187	2128	9191
188	2139	9178
189	2149	9162
190	2161	9154
191	2170	9136
192	2181	9120
193	2194	9117
194	2203	9095
195	2214	9082
196	2224	9068
197	2234	9051
198	2244	9033
199	2254	9016
200	2263	8999
201	2273	8980
202	2283	8964
203	2294	8953
204	2302	8929
205	2313	8916
206	2324	8904
207	2335	8891
208	2346	8881
209	2357	8868
210	2365	8844
211	2376	8833
212	2386	8818
213	2396	8802
214	2406	8784
215	2416	8772
216	2427	8757
217	2439	8750
218	2450	8739
219	2460	8723
220	2470	8709
221	2480	8692
222	2491	8679
223	2500	8663
224	2511	8649
225	2523	8641
226	2534	8630
227	2545	8617
228	2555	8604
229	2564	8584
230	2574	8569
231	2585	8559
232	2596	8547
233	2605	8529
234	2618	8524
235	2629	8511
236	2640	8501
237	2650	8485
238	2660	8470
239	2670	8455
240	2680	8440
241	2690	8426
242	2700	8412
243	2708	8393
244	2719	8381
245	2731	8371
246	2739	8352
247	2749	8336
248	2761	8328
249	2775	8326
250	2785	8311
251	2795	8298
252	2805	8282
253	2815	8268
254	2826	8258
255	2837	8246
256	2849	8236
257	2858	8221
258	2869	8209
259	2879	8194
260	2887	8176
261	2898	8164
262	2907	8148
263	2918	8135
264	2926	8116
265	2936	8103
266	2948	8094
267	2958	8079
268	2967	8062
269	2978	8052
270	2986	8033
271	2997	8023
272	3008	8010
273	3019	8000
274	3028	7984
275	3037	7968
276	3048	7957
277	3058	7943
278	3067	7927
279	3078	7916
280	3090	7907
281	3098	7890
282	3109	7878
283	3120	7867
284	3131	7857
285	3141	7843
286	3153	7833
287	3162	7818
288	3173	7807
289	3184	7797
290	3195	7785
291	3205	7772
292	3217	7762
293	3227	7749
294	3235	7733
295	3244	7717
296	3255	7705
297	3263	7688
298	3275	7678
299	3286	7667
300	3295	7653
301	3306	7642
302	3318	7633
303	3327	7617
304	3337	7605
305	3349	7596
306	3358	7581
307	3369	7571
308	3378	7555
309	3387	7540
310	3398	7529
311	3408	7517
312	3418	7502
313	3427	7489
314	3437	7475
315	3448	7464
316	3457	7449
317	3467	7437
318	3478	7425
319	3488	7412
320	3498	7399
321	3509	7389
322	3520	7378
323	3529	7364
324	3539	7352
325	3551	7342
326	3562	7332
327	3573	7321
328	3581	7305
329	3591	7292
330	3601	7278
331	3611	7266
332	3620	7251
333	3631	7240
334	3641	7229
335	3652	7217
336	3663	7207
337	3672	7192
338	3682	7179
339	3693	7170
340	3703	7157
341	3714	7147
342	3723	7132
343	3733	7120
344	3746	7113
345	3757	7103
346	3768	7091
347	3778	7080
348	3789	7069
349	3798	7053
350	3809	7044
351	3818	7030
352	3829	7018
353	3840	7008
354	3852	6998
355	3862	6987
356	3875	6979
357	3885	6968
358	3895	6954
359	3907	6946
360	3917	6934
361	3928	6922
362	3939	6913
363	3950	6901
364	3960	6890
365	3969	6875
366	3982	6868
367	3990	6853
368	4000	6840
369	4010	6828
370	4019	6814
371	4030	6804
372	4040	6792
373	4052	6782
374	4062	6770
375	4071	6757
376	4081	6745
377	4092	6733
378	4102	6721
379	4110	6706
380	4121	6695
381	4132	6685
382	4142	6673
383	4152	6662
384	4163	6650
385	4173	6639
386	4184	6627
387	4194	6616
388	4204	6604
389	4213	6589
390	4222	6576
391	4231	6563
392	4242	6553
393	4253	6541
394	4263	6530
395	4273	6517
396	4283	6506
397	4293	6494
398	4305	6484
399	4314	6472
400	4322	6457
401	4333	6446
402	4344	6435
403	4355	6425
404	4364	6411
405	4374	6399
406	4382	6385
407	4392	6373
408	4402	6362
409	4414	6352
410	4425	6341
411	4433	6327
412	4445	6319
413	4456	6308
414	4466	6295
415	4475	6282
416	4486	6272
417	4500	6265
418	4508	6251
419	4517	6238
420	4528	6228
421	4540	6219
422	4551	6208
423	4562	6197
424	4571	6185
425	4581	6173
426	4590	6159
427	4601	6150
428	4612	6139
429	4624	6129
430	4636	6120
431	4647	6110
432	4657	6098
433	4668	6087
434	4678	6076
435	4688	6064
436	4701	6056
437	4711	6045
438	4723	6035
439	4731	6022
440	4740	6009
441	4751	5998
442	4760	5985
443	4771	5975
444	4782	5964
445	4794	5955
446	4805	5945
447	4816	5934
448	4825	5921
449	4836	5911
450	4847	5900
451	4860	5892
452	4870	5881
453	4882	5871
454	4892	5859
455	4903	5849
456	4913	5838
457	4924	5827
458	4934	5816
459	4945	5806
460	4956	5794
461	4966	5783
462	4977	5773
463	4988	5763
464	4997	5750
465	5006	5736
466	5016	5725
467	5026	5714
468	5036	5702
469	5046	5690
470	5057	5680
471	5067	5668
472	5078	5657
473	5088	5646
474	5098	5635
475	5108	5623
476	5118	5611
477	5129	5601
478	5138	5589
479	5150	5580
480	5159	5567
481	5169	5555
482	5179	5544
483	5193	5536
484	5205	5527
485	5216	5517
486	5226	5505
487	5235	5492
488	5246	5482
489	5257	5472
490	5268	5461
491	5279	5450
492	5291	5441
493	5302	5431
494	5312	5420
495	5322	5408
496	5332	5396
497	5343	5386
498	5354	5375
499	5364	5364
500	5374	5353
501	5385	5342
502	5395	5331
503	5404	5318
504	5413	5306
505	5424	5295
506	5436	5285
507	5447	5275
508	5457	5264
509	5468	5254
510	5480	5244
511	5491	5234
512	5503	5224
513	5514	5214
514	5524	5202
515	5534	5191
516	5546	5181
517	5558	5171
